character,level,strokes,grade,freq,onyomi,kunyomi,meanings
頒,N1,13,8,2287,ハン,わ.かつ; わ.ける,distribute; disseminate; partition; understand
只,N1,5,9,2288,シ,ただ,only; free; in addition
肢,N1,8,8,2289,シ,,limb; arms & legs
檀,N1,17,9,2291,ダン; タン,まゆみ,cedar; sandalwood; spindle tree
凱,N1,12,9,2293,ガイ; カイ,かちどき; やわらぐ,victory song
彗,N1,11,9,2294,スイ; エ; ケイ; セイ,ほうき,comet; broom
謄,N1,17,8,2295,トウ,,mimeograph; copy
梓,N1,11,9,2301,シ,あずさ,catalpa tree; woodblock printing
丑,N1,4,9,2305,チュウ,うし,sign of the ox or cow; 1-3AM; second sign of Chinese zodiac
嗣,N1,13,8,2310,シ,,heir; succeed
叶,N1,5,9,2312,キョウ,かな.える; かな.う,grant; answer
汐,N1,6,9,2314,セキ,しお; うしお; せい,eventide; tide; salt water; opportunity
絢,N1,12,9,2315,ケン,,brilliant fabric design
朔,N1,10,9,2318,サク,ついたち,conjunction (astronomy); first day of month; north
伽,N1,7,9,2323,カ; ガ; キャ; ギャ,とぎ,nursing; attending; entertainer
畝,N1,10,8,2327,ボウ; ホ; モ; ム,せ; うね,furrow; thirty tsubo; ridge; rib
抄,N1,7,8,2328,ショウ,,extract; selection; summary; copy; spread thin
爽,N1,11,8,2333,ソウ,あき.らか; さわ.やか; たがう,refreshing; bracing; resonant; sweet; clear
黎,N1,15,9,2335,レイ; リ,くろ.い,dark; black; many
惰,N1,12,8,2336,ダ,,lazy; laziness
蛮,N1,12,8,2339,バン,えびす,barbarian
冴,N1,7,9,2341,ゴ; コ,さ.える; こお.る; ひ.える,be clear; serene; cold; skilful
旺,N1,8,8,2342,オウ,さかん,flourishing; successful; beautiful; vigorous
萌,N1,11,9,2346,ホウ,も.える; きざ.す; めばえ; きざ.し,show symptoms of; sprout; bud; malt
偲,N1,11,9,2350,サイ; シ,しの.ぶ,recollect; remember
壱,N1,7,8,2351,イチ; イツ,ひとつ,one (in documents)
瑠,N1,14,8,2352,ル; リュウ,,lapis lazuli
允,N1,4,9,2358,イン,じょう; まこと.に; ゆるす,license; sincerity; permit
侯,N1,9,8,2363,コウ,,marquis; lord; daimyo
蒔,N1,13,9,2368,シ; ジ,う.える; ま.く,sow (seeds)
鯉,N1,18,9,2369,リ,こい,carp
弧,N1,9,8,2371,コ,,arc; arch; bow
遥,N1,12,9,2376,ヨウ,はる.か,far off; distant; long ago
舜,N1,13,9,2384,シュン,,type of morning glory; rose of Sharon; althea
瑛,N1,12,9,2393,エイ,,sparkle of jewelry; crystal
附,N1,8,8,2396,フ,つ.ける; つ.く,affixed; attach; refer to; append
彪,N1,11,9,2397,ヒョウ; ヒュウ,あや,spotted; mottled; patterned; small tiger
卯,N1,5,9,2400,ボウ; モウ,う,sign of the hare or rabbit; fourth sign of Chinese zodiac; 5-7AM; east
但,N1,7,8,2404,タン,ただ.し,however; but
綺,N1,14,9,2413,キ,あや,figured cloth; beautiful
芋,N1,6,8,2418,ウ,いも,taro; yam; tuber
茜,N1,9,9,2422,セン,あかね,madder; red dye; Turkey red
凌,N1,10,9,2423,リョウ,しの.ぐ,endure; keep (rain)out; stave off; tide over; defy; slight; surpass
皓,N1,12,9,2428,コウ,しろ.い; ひか.る,white; clear
洸,N1,9,9,2430,コウ,,sparkling water
毬,N1,11,9,2431,キュウ,いが; まり,burr; ball
婆,N1,11,8,2435,バ,ばば; ばあ,old woman; grandma; wet nurse
緋,N1,14,9,2443,ヒ,あけ; あか,scarlet; cardinal
鯛,N1,19,9,2446,チョウ,たい,sea bream; red snapper
怜,N1,8,9,2450,レイ; レン; リョウ,あわ.れむ; さと.い,wise
邑,N1,7,9,2452,ユウ,むら,village; rural community; right village radical (no. 163)
倣,N1,10,8,2454,ホウ,なら.う,emulate; imitate
碧,N1,14,9,2455,ヘキ; ヒャク,,blue; green
啄,N1,10,9,2463,タク; ツク; トク,ついば.む; つつ.く,peck; pick up
穣,N1,18,9,2464,ジョウ,わら; ゆたか,good crops; prosperity; 10**28
酉,N1,7,9,2468,ユウ,とり,west; bird; sign of the bird; 5-7PM; tenth sign of Chinese zodiac; sake radical (no. 164)
悌,N1,10,9,2474,テイ; ダイ,,serving our elders
倹,N1,10,8,2479,ケン,つま.しい; つづまやか,frugal; economy; thrifty
柚,N1,9,9,2489,ユ; ユウ; ジク,ゆず,citron
繭,N1,18,8,2495,ケン,まゆ; きぬ,cocoon
紬,N1,11,9,,チュウ,つむぎ; つむ.ぐ,pongee (a knotted silk cloth)
哉,N1,9,9,,サイ,かな; や,how; what; alas; question mark; exclamation mark
凪,N1,6,9,,,なぎ; な.ぐ,lull; calm; (kokuji)
燦,N1,17,9,,サン,さん.たる; あき.らか; きらめ.く; きら.めく,brilliant
栞,N1,10,9,,カン,しおり,bookmark; guidebook
崚,N1,11,9,,リョウ,,mountains towering in a row
汰,N1,7,8,,タ; タイ,おご.る; にご.る; よな.げる,washing; sieving; filtering; weeding out; luxury
銑,N1,14,9,,セン,,pig iron
脹,N1,12,9,,チョウ,は.れる; ふく.らむ; ふく.れる,dilate; distend; bulge; fill out; swell
賦,N1,15,8,,フ; ブ,,levy; ode; prose; poem; tribute; installment
晟,N1,10,9,,セイ; ジョウ,あきらか,clear
斤,N1,4,8,,キン,,axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69)
亦,N1,6,9,,エキ; ヤク,また,also; again
冶,N1,7,8,,ヤ,い.る,melting; smelting
瑶,N1,13,9,,ヨウ,たま,beautiful as a jewel
且,N1,5,8,,ショ; ソ; ショウ,か.つ,moreover; also; furthermore
弐,N1,6,8,,ニ; ジ,ふた.つ; そえ,II; two; second
勁,N1,9,9,,ケイ,つよ.い,strong
旦,N1,5,8,,タン; ダン,あき.らか; あきら; ただし; あさ; あした,daybreak; dawn; morning
麟,N1,24,9,,リン,,Chinese unicorn; genius; giraffe; bright; shining
耗,N1,10,8,,モウ; コウ,,decrease
亥,N1,6,9,,ガイ; カイ,い,sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac
吏,N1,6,8,,リ,,officer; an official
勺,N1,3,9,,シャク,,ladle; one tenth of a go; dip
塑,N1,13,8,,ソ,でく,model; molding
侑,N1,8,9,,ユウ; ウ,すす.める; たす.ける,urge to eat
叡,N1,16,9,,エイ,あき.らか,intelligence; imperial
澪,N1,16,9,,レイ,みお,water route; shipping channel
嵩,N1,13,9,,スウ; シュウ,かさ; かさ.む; たか.い,be aggravated; grow worse; grow bulky; swell
箇,N1,14,8,,カ; コ,,counter for articles
匁,N1,4,9,,,もんめ; め,monme; 3.75 grams; (kokuji)
裟,N1,13,9,,サ; シャ,,Buddhist surplice
誼,N1,15,9,,ギ,よしみ; よい,friendship; intimacy
錘,N1,16,9,,スイ,つむ; おもり,weight; plumb bob; sinker; spindle
竣,N1,12,9,,ドウ; シュン,わらわ; わらべ; おわ.る,end; finish
胤,N1,9,9,,イン,たね,descendent; issue; offspring
爵,N1,17,8,,シャク,,baron; peerage; court rank
椋,N1,12,9,,リョウ,むく,type of deciduous tree; grey starling
鞠,N1,17,9,,キク; キュウ,まり,ball
瑚,N1,13,9,,コ; ゴ,,ancestral offering receptacle; coral
麿,N1,18,9,,,まろ,I; you; (kokuji)
洵,N1,9,9,,ジュン; シュン,の.ぶ; まこと.に,alike; truth
碩,N1,14,9,,セキ,おお.きい,large; great; eminent
茉,N1,8,9,,マツ; バツ; マ,,jasmine
凜,N1,15,9,,リン,きびし.い,cold; strict; severe
遵,N1,15,8,,ジュン,,abide by; follow; obey; learn
宥,N1,9,9,,ユウ,なだ.める; ゆる.す,soothe; calm; pacify
袈,N1,11,9,,ケ; カ,,a coarse camlet
楓,N1,13,9,,フウ,かえで,maple
墾,N1,16,8,,コン,は.る; ひら.く,ground-breaking; open up farmland
昴,N1,9,9,,コウ; ボウ,すばる,the Pleiades
笙,N1,11,9,,ショウ; ソウ,ふえ,a reed instrument
耶,N1,9,9,,ヤ; ジャ,か,question mark
侃,N1,8,9,,カン,つよ.い,strong; just; righteous; peace-loving
菫,N1,11,9,,キン,すみれ,the violet
痘,N1,12,8,,トウ,,pox; smallpox
迪,N1,8,9,,テキ,みち; みちび.く; すす.む; いた.る,edify; way; path
茄,N1,8,9,,カ,,eggplant
梢,N1,11,9,,ショウ,こずえ; くすのき,treetops; twig
菖,N1,11,9,,ショウ,,iris
倖,N1,10,9,,コウ,しあわ.せ; さいわ.い,happiness; luck
璃,N1,15,8,,リ,,glassy; lapis lazuli
莞,N1,10,9,,カン,い,smiling; reed used to cover tatami
瞭,N1,17,8,,リョウ,あきらか,clear
梧,N1,11,9,,ゴ,あおぎり,Chinese parasol tree; phoenix tree
昂,N1,8,9,,コウ; ゴウ,あ.がる; たか.い; たか.ぶる,rise
莉,N1,10,9,,リ; ライ; レイ,,jasmine
紗,N1,10,9,,サ; シャ,うすぎぬ,gauze; gossamer
采,N1,8,8,,サイ,と.る; いろどり,dice; form; appearance; take; gather; coloring
颯,N1,14,9,,サツ; ソウ,さっ.と,sudden; quick; sound of the wind
詢,N1,13,9,,ジュン; シュン,はか.る; まこと,consult with
爾,N1,14,9,,ジ; ニ,なんじ; しかり; その; のみ; おれ; しか,you; thou; second person
玖,N1,7,9,,キュウ; ク,,beautiful black jewel; nine
晏,N1,10,9,,アン,おそ.い,late; quiet; sets (sun)
蕗,N1,16,9,,ロ; ル,ふき,butterbur; bog rhubarb
衿,N1,9,9,,キン; コン,えり,neck; collar; lapel
眸,N1,11,9,,ボウ; ム,ひとみ,pupil of the eye
頌,N1,13,9,,ショウ; ジュ; ヨウ,かたち; たた.える; ほめ.る,eulogy
椰,N1,13,9,,ヤ,やし,coconut tree
瑳,N1,14,9,,サ,みが.く,polish; brilliant white luster of a gem; artful smile
綸,N1,14,9,,リン; カン,いと,thread; silk cloth
熙,N1,15,9,,キ,たのし.む; ひか.る; ひろ.い; よろこ.ぶ; かわ.く; あきらか; ひろ.める; ひろ.まる,bright; sunny; prosperous; merry
奎,N1,9,9,,ケイ; キ,,star; god of literature
虞,N1,13,8,,グ,おそれ; おもんぱか.る; はか.る; うれ.える; あざむ.く; あやま.る; のぞ.む; たの.しむ,fear; uneasiness; anxiety; concern; expectation; consideration
晨,N1,11,9,,シン,あした; とき; あさ,morning; early
丞,N1,6,9,,ジョウ; ショウ,すく.う; たす.ける,help
琳,N1,12,9,,リン,,jewel; tinkling of jewelry
捺,N1,11,9,,ナツ; ダツ,さ.す; お.す,press; print; affix a seal; stamp
謁,N1,15,8,,エツ,,audience; audience (with king)
柾,N1,9,9,,,まさ; まさめ; まさき,straight grain; spindle tree; (kokuji)
燿,N1,18,9,,ヨウ,かがや.く; ひかり,shine
濫,N1,18,8,,ラン,みだ.りに; みだ.りがましい,excessive; overflow; spread out
絃,N1,11,9,,ゲン,いと,string; cord; samisen music
柊,N1,9,9,,シュ; シュウ,ひいらぎ,holly
伶,N1,7,9,,レイ; リョウ,わざおぎ,actor
恕,N1,10,9,,ジョ; ショ,ゆる.す,excuse; tolerate; forgive
丙,N1,5,8,,ヘイ,ひのえ,third class; 3rd; 3rd calendar sign
朕,N1,10,8,,チン,,majestic plural; imperial we
諄,N1,15,9,,シュン,ひちくど.い; くど.い; くどくど; ねんご.ろ,tedious
伎,N1,6,8,,ギ; キ,わざ; わざおぎ,deed; skill
捷,N1,11,9,,ショウ; ソウ,はや.い,victory; fast
諒,N1,15,9,,リョウ,あきら.か; まことに,fact; reality; understand; appreciate
蓉,N1,13,9,,ヨウ,,lotus
燎,N1,16,9,,リョウ,かがりび,burn; bonfire
滉,N1,13,9,,コウ,ひろ.い,deep and broad (water)
